title,label
Is Bitcoin the Future of Money? Peter Schiff vs. Erik Voorhees,0
Criminal-Justice Reform Efforts Brace for Tough Road,0
British embassy in DC apologizes for celebrating 1814 burning of White House,0
The Democrats Are Downsizing Their Convention to Almost Nothing,1
Social Impact Fund Leads $190 Million Investment in EverFi,0
Oil Majors Look to Fill Businesses Growing Appetite for Green Power,0
Why The GOP Obamacare Repeal Wont Stop Health-Care Hyperinflation,1
Put Our Civil Rights Heroes on a Pedestal,0
Teaching Old American Food New Tricks,0
"Obama Urges Britain to Remain in European Union, Says UK Could Go to Back of Trade Deal Line",0
meet the canadians trying to get hillary clinton elected,1
Peru May Join Cubas Authoritarian Axis,0
Has the Fed Rewritten the Laws of Investing?,0
Joe Biden Is Electrifying America Like F.D.R.,0
Learning From the Past After Brexit,0
Stephanie Grisham: Trump China trade war regrets 'greatly misinterpreted',1
A Confrontation With Charlotte Police,1
Alec Baldwin Skewers Trump. And Supports Allen and Toback.,0
Political Lies About Police Brutality,0
Ted Cruz Hits Marco Rubio on Immigration in New Ad,0
US-led coalition strikes kill pro-regime forces in Syria,1
Exchanges Fees and Rebates Could Get a Cut,0
Panels Advise Bolstering W.H.O. for Crises Like Ebola,0
"With Biden Agenda in Limbo, Democrats Work to Sell an Unfinished Promise",1
Canada Today: Trump Is a Blessing and a Curse for Trudeau,1
"Internet Freedom Swirling Around Drain as Dems, Reps Threaten Antitrust Action on Google, et al",1
"Christie, Bush Put on Defensive on Marijuana Legalization",0
Democrats Smear Josh Hawley For Revealing They Dont Care If Supreme Court Justices Love Perverts And Hate The Constitution,1
Want to stop America's slide toward authoritarianism? Give all immigrants the right to vote,1
Donald Trump: Police need better protection,0
japan should press china more on human rights pm adviser says,1
Will the wage-poaching settlement change how tech companies recruit?,0
Making the Republican Case for Black Support,1
What Bible verse does Donald Trump have memorized?,1
House GOP pushes bill to let insurers ignore Obamacare standards,1
Goldman Sachs Has a New Model: Apple,0
Support Grows to Make Jets Tamper-Proof,0
"Tax reform: Why it's needed, why it's hard for Washington to get it done.",0
GOP Rep. stands by comment Obama partly to blame for climate that led to Scalise shooting,1
"Obamacare Repeal Bill Dies in the House, Free Speech Threatened at DePaul: P.M. Links",1
Centene Profit Rises on Expanded Memberships,0
"For Virginias Don Beyer, Obama Is Still a Positive",0
"Acquitted of Murder, Rapper Is Convicted on Weapons Charge",0
"China Fed North Koreas Nuclear Aggression, And Now China Needs To Help Deal With It",1
sec curbs on fading spac boom have wall street rethinking role,0
How to Spread Our Values,0
"Schumer breaks with Obama, opposes Iran deal",1
Michael Van Valkenburgh on Park Design,0
How I Approach Unpopular and Unconventional Legal Views,0
Bacteria as Generators of Electricity,0
"McCain, Sasse to Vote Against Trump Trade Nominee",0
How to Put Your Pantry in Order (and Stop Wasting Food),0
"More Married Couples, Same-Sex and Straight, Are Sharing the Job of Pastor",0
"Junk Bonds Flourish Amid Low Interest Rates, but So Do Default Worries",0
The Alt-Right Finds a New Enemy in Silicon Valley,0
"The right is slamming the Green New Deal, and Democrats need to react fast",1
billionaires who championed trump have now gone largely quiet,1
"Donald Trump, Challenging Political Correctness, Strikes a Chord",1
Why Pixar's 'Turning Red' is such a rare coming-of-age tale,0
The EPA made a surprise move that could protect the world&s largest salmon fishery,0
Obama Must Engage the Iran Deals Critics,1
"Expanding Medicare Would Solve Some Problems, Create New Ones",0
"If the Shoe Doesn't Fit, Don't Buy It",0
"Silicon Valley Helped Create Trump, and Thats Bad for It",1
A Photographer Captures His Community in a Changing Chicago Barrio,0
How to Build Positive Relationships at Work,0
White supremacist praise of the Taliban takeover concerns US officials,1
What Happens if Americas 2.5 Million Farmworkers Get Sick?,0
Vanessa Bryant 'devastated' by reports Kobe Bryant crash photos shared by first responders,0
What Happens When Courts Treat Frozen Embryos Like Property,0
Israel backs away from Jerusalem settlement vote,0
Why are white supremacists backing Trump?,1
Activists Build a Grass-Roots Alliance Against Amazon,0
Trump's Immigration Plan Could Use Some Work,0
Republicans in Congress Want to Roll Back Regulations on Credit Bureaus,0
Health Savings Accounts for Everyone,0
Tim Kaines Church Just Proved Donald Trumps Point About Religious Freedom,0
He's Fired': Clinton and Audience Member Take Jab at Trump,1
House Republicans Still Favored to Win Back Control but Outlook Tightens,0
the case for custom indexing,0
Learning How to Love From Afar,0
Chinese Tech Faces New Curbs on Connecting Banks and Borrowers,0
Emery LeCrones Intimate (and Often Emotional) Dance,0
David Petraeus: ISIS is on its way to defeat but terrorism threat persists,0
"Haven Buying, Weak Dollar Boost Gold",0
Trump Campaign Rattles GOPs Economic Pillars,1
U.S. Would Rethink Intelligence Ties if Allies Use Huawei Technology,0
Bloomberg takes jab at Sanders while pitching himself to Jewish voters,1
A Farmer on Trumps Trade War: I Cant Take It,1
Bernie Sanders: How Democrats Can Stop Losing Elections,0
"A Mother Criticizes Vince Staples, and the Rapper Defends Her",0
"Comey, McCabe, Page and Strzok dropped from Trump&s sprawling civil lawsuit",0
Impeachment Is a Form of Hope,1
What Does Dont Say Gay Actually Say?,0
"In criminal justice push, Hillary Clinton calls for end to racial profiling",1
Health Reform Is Hard,0
Read: Robert Mueller&s opening statements before Congress,0
Where an Attorney General Works After Leaving Office,0
zendesk is said near agreement with group led by h f permira,0
Searching for truth in Venezuela,0
"Anger over mom's black boyfriend fueled hate crime, Houston police say",0
"Who Gets a New 20% Tax Break? The Treasury Dept. Speaks, and Trump May Save",0
"Nathan Johnson, Modernist Architect of Black Churches, Dies at 96",0
How strongly do Americans support religious rights? Depends on the religion.,0
DOJ ramps up sanctuary cities battle as court deals it another blow,0
"Who Is Kate del Castillo, And What Did She Write to El Chapo?",0
Capitol Riot Strains Trump-Pence Relationship,1
what big companies say about the harvard affirmative action case,0
house democrats agree on strategy to move biden agenda,0
#Pride50: Del Martin — Pioneering lesbian activist,0
Cures for Hunger,0
The Mutual Fund That Ate Wall Street—Based on an Index Few People Know About,0
U.S. Proposes New Tariffs on $4 Billion of E.U. Goods as Trade Dispute Grows,0
meta stock slide puts spotlight on tech antitrust bill criteria,0
Coronavirus Pandemic Makes Jobless Rate Calculation Harder,0
"In Texas, Ted Cruz Has a Dogfight on His Hands, Some Republicans Admit",1
Everything you wanted to know about Pokémon GO but were afraid to ask,0
Border wall plans reduced as costs exceed $15 billion,0
in some states the prison population just keeps growing,0
"Im On Welfare, And Thats How I Know It Needs To Be Abolished",0
GOP senators warn McConnell could face backlash if he votes to convict Trump,1
Dissents from the bench: A Supreme Court tradition missing during Covid,0
What happened in markets today,0
Trump Backs Down From Threat to Place Tariffs on Brazilian Steel,0
Standing Tall on Its Own,0
The Movement to End Racist Voting Laws,0
Schools Out. Parental Burnout Isnt Going Away.,0
life in the ukraine after one year of war,0
Sharing a Love of the Outdoors,0
Actor Tobias Menzies on the Outlander Death We All Knew Was Coming,0
Donald Trump admits he makes AG William Barr's job harder,1
The Debate Over National Monuments,0
Emerging Market Currencies Boosted by Oil Price Rise,0
Patience Runs Thin in Haiti Quake Zone as Fights Erupt for Cash and Food,0
The Tenuous Logic Behind Republicans About-Face on Debt,1
"Silencers, Armor-Piercing Bullets: Congress Looks to Roll Back Gun Laws",0
President Trump Should Take Some Credit For Our New Morning In America,1
Lamar Alexander Wants To Bail Out Health Regulators Who Misjudged Billions,0
"Trump, Inching Toward Border Security Deal, Says Shutdown Would Be Terrible",1
The truth about Russia's electoral interference requires Trump answer Mueller's questions,1
Term Limits for Justices,0
What You Get for $3 Million,0
google cfo ruth porat brings fiscal discipline,0
G.O.P. Turns to the Courts to Aid Agenda,0
Risk to Turkeys Economy Deepens With New Istanbul Election,0
What San Francisco Says About America,0
Anti-Semite Rep. Ilhan Omars Attempt To Re-Litigate The Cold War Is Absurd,1
Spelling Bee Forum,0
Trump's America is deeply partisan. Could infrastructure initiatives help heal our divisions?,1
xi s tightening grip on hong kong ushers in new era of doubt,0
EPA head says clean-water access is &biggest environmental threat& -- despite regulation rollbacks,0
Trump's election lies show U.S. democracy isn't idiot-proof. The 'deep state' must fight back.,1
New Obama climate push: Let them make power,0
The @#%&* Democrats just can't stop with the profanity,1
The Coast Guard Leads the Way in Industry Partnerships,0
"A Bomb Without Bombast, in Contrast With Kim Jong Un",0
A.N.C. Suffers Worst Election Setback Since End of Apartheid,1
"A Rebuke to Trump, a Century in the Making",1
Tax Law Could Further Slow Down a Bank Favorite: Jumbo Mortgages,0
Stormy Daniels truthers see Trump North Korea talks as smokescreen,0
New Yorks Subway Gets a Makeover,0
"Why, this time, free trade has hit American workers so hard",0
Peter Suderman on How Republicans Could Replace Obamacare,1
"Trump says China has turned back N. Korean coal ships, lauds it as &big step&",0
How to Stop Worrying and Learn to Love the Nuclear Option,0
Rand Paul revolution in Silicon Valley,0
Adoption: 5 Red Flags,0
Equifax Customer Complaints Keep Piling Up,0
Best of the Web Today: There Was No Republican Wave,1
Merrill Lynch Cuts Broker Pay,0
The Rise Of Progressivism And Administrative Agency In American History,0
"Sen. Roy Blunt: Biden's $1.75T social welfare plan would hurt economy, increase inflation",1
Hillary Clinton blasts Obama over 'stupid' foreign policies plan,1
Both Sides Can Win the Trade War,0
Can This Be Hell? This Month We Remember Those Who Died Fighting For Freedom,1
The Hollywood Hills Home of Harry Styles,0
No-Trump Outscores the Major at Eastern States Regional,1
Chinese Province Delays Bond Sale,0
covid zero policy most economic effective for china xi says,0
Funds Have 18 Months to Prepare for Brexit,0
The Wing opens &tech bro alternative& space in San Francisco,0
A Look at Republicans Chosen Questioner,0
Trump Rule Would Exclude Climate Change in Infrastructure Planning,0
President Trump: I like Justin Amash 'more than Jill Stein',0
"No, Democrats Havent Won The Culture War",1
"What You Get for $850,000",0
Trump just granted clemency to 11 people. Here&s a look at each.,0
The Misleading Push for Corporate Tax Hikes,0
Earn less to land a husband?,0
"Golfers Embrace CBD, Even as Its Gentility Is Questioned",0
Free Doesnt Equal Learning Success,0
Tops Markets Reaches Deal With Pension Fund,0
How Individual Investors Can Invest in Startups,0
Who Does Hip-Hop Belong To?,0
What Are Capitalists Thinking?,0
Republicans Are Keeping Their Health Care Bill Secret Because They Can't Defend It On the Merits,1
This man is running for governor of California so he can run false Facebook ads,1
Budget Deal Stirs Anger on the Right,1
A New American Deal for Europe,0
Dont Overthink Overstock.com,0
"To Help Kids Find Their Passion, Give Them Free Time",0
"Model predicts Covid-19 pandemic will &peter out& by May, but experts are skeptical",0
Joe Biden Lies About Coronavirus Testing To Make Trump Look Bad,1
Let Me Ask America a Question,0
How Can We Get Rid of Trump?,1
Preventing Suicide in Americas Jails,0
"Terminally ill American robbed on Italian vacation, pens 'open letter' forgiving thief",0
"Judge Andrew Hanen's Obama amnesty ruling cites executive overreach, burden on states",0
How to Make Sense of the New L.G.B.T.Q. Culture War,0
mike novogratz sees bitcoin finding bottom at 38 000 40 000,0
"For a Clean-Energy Future, We Need Deregulation",0
battery trade dispute could test biden s green policy plans,0
How to make the most of your Dubai stopover,0
Arnold Scwharzenegger will announce his presidential preference in his own 'unusual' way,0
Christopher Alexander's Utopian Blueprint,0
"President Trump, what&s your endgame?",1
Where Can You Get the Most Space for the Money?,0
Trump&s outrageous new vote-by-mail attack,1
Jonathan Gruber was right about political ignorance,1
New U.S. Rules on Foreign Students Put Universities in Dilemma,1
Build your digital marketing skills with this 12-course bundle,0
Meet the new GOP tax plan,0
Prominent Architects Group Prohibits Design of Death Chambers,0
&Bruce Springsteen&s Letter to You& is a valentine to his fans and the E Street Band,0
Firm Retention Summary: Samuels Jewelers Inc.,0
New Backpage Ruling Lays Bare Some of the Lies Undergirding FOSTA,0
warren bill would require companies to explain price hikes,0
Is Joe Biden the inevitable Democratic nominee?,0
"The GOP Abandoned Fiscal Discipline Long, Long Ago",1
How Donald Trump fits in the 'post-truth' world,1
"Putting Fossil Fuels First, the Planet Second",0
Push to Provide Lawyers in New York City Housing Court Gains Momentum,0
How Submission To Islam Could Save Europe,0
"Tyrone Ponthieux, 55, pleads guilty to threatening Obama; possible Bundy Ranch connection considered",0
big tobacco won t let the fda cut nicotine without a fight,0
americans rainy day funds have been growing,0
"In the Homestretch, Obama Comes On Strong",0
Strict New Menu Labeling Rules Announced Today. Thanks Obamacare!,1
Export-Import Bank nominee faces critical vote,0
"As Wind Power Sector Grows, Turbine Makers Feel the Squeeze",0
The Rise of Islamic State,0
Carbon Pricing Is a Possible Alternative to Partisan Bickering Over Climate Change,0
The Democrats Spooky Politics,1
U.S. Leads Billion-Dollar Resurgence,0
How To Boost the U.S. Economy While Sticking It to Putin,0
"Kepler has spotted 1,284 new exoplanets, thanks to new verification method",0
Allies of Christie and Cuomo Defend Veto of Changes in Port Authority,0
Rethinking Familiar Repertoire,0
A Whos Who Of Left-Wing Hacks: Behind The Aspen Institutes Upcoming Report On Silencing Dissent,1
"Fear is the socialist, communist, collectivist left's greatest weapon",1
Second Democratic Senator Backs CIA Nominee Haspel,0
Investors Bet on Swiss Francs Rise Despite Central Bank Intervention,0
Declassified U.S. Documents Reveal Details About Argentinas Dictatorship,1
"Red Wing, Iconic U.S. Shoe Maker, Labors Mightily to Bring Production Home",0
A Transcendent Take on Meatloaf,0
Help Me Find Trumps Anarchists in Portland,0
World leaders reach landmark deal on global corporate tax rate,0
Defending a Prisoners Care,0
"New Hampshire Republican Senate hopefuls trash FBI, 2020 election results on debate stage",1
Publishers Petition White House to End Cuba Book Embargo,0
Investors and the Gender-Equality Agenda,0
How to Make Dinner Without Cooking Anything,0
Surrealism and Psycho Sagas,0
It All Adds Up,0
Ayesha Curry: Making Time for Your Passion,0
Teaching's Unappreciated Sacrifice: Paperwork,0
Land Rover Defender ends production after seven decades,0
Why I Talk About My Daughters Body,0
Parts of America Are Still Struggling Economically. They Dont Matter Much in the Midterms.,0
china s xi vows to strengthen system that develops new tech,0
White House doubles down on calls for gas station owners to trim profits,0
What the Editorial Board Really Thought of the Democratic Candidates,0
GOP to Trump: Stop alienating Latinos,1
"Justice Department deems New York City, Portland and Seattle 'anarchist jurisdictions'",0
"On the Trail, Eric Trump Says Father Pays His Taxes",0
Britain Is Committed to Brexit and Free Trade,0
Deni Avdija is an Israeli star. Here's what you need to know about the Wizards' newest draft pick,0
A More Money-Conscious Alphabet Emerges,0
"A Commitment to Nonprofits, and to Each Other",0
"Protesters Rally in Los Angeles, Atlanta, Chicago",0
They Made How Much?,0
Notable & Quotable: Remembering Charles H. Brunie,0
Opinion: Why Jill Biden&s trip in Eastern Europe matters,0
Letters From the Children of Fallen Service Members to the Parents They Lost,0
Fake drugs: The global industry putting your life at risk,0
"Bollinger County, Missouri Covid Case and Risk Tracker",0
How FedEx Cut Its Tax Bill to $0,0
Trumps Debt to Reagan,0
Cancer-Care Giant Is Probed Over Medicare Billing,0
ban on excessive gasoline prices is heading for us house vote,0
Outraged progressives forget 'separation of church and state' cannot be found in Bill of Rights,0
Trump Scales Back Vow to Dismantle Obamacare,1
Abolish the Intelligence-Industrial Complex,0
Mnuchin says Congress will have to sue to get Trump taxes,1
GOP tax plans could fuel the suburban revolt against Trump,1
"No, The Deep State Isnt A Bunch Of Unbiased Patriots Who Deserve Our Gratitude",1
"Toyota, GM and Honest Government",0
Justice Ginsburgs Death Puts Spotlight on Affordable Care Act,0
Climate Change Returns to G-20 Agenda,0
Want to Be a Hollywood Player? Covid and Streaming Have Changed All the Rules,0
Lawsuit demands answers on Barack Obama Presidential Center's environmental impact,0
All the Feelings on a Brooklyn Stoop,0
u k power grid needs investment to deliver johnson s green plan,0
American Republics Review: A Patchwork Nation,0
"For Black and Latino Workers, Equity Rewards Are Elusive",1
Some See a Bargain in MetLife Shares,0
"Keith Olbermann, retiring, predicts The End of Trump",1
Bill O'Reilly will explore 'the Real West' in a new project,0
Treasury to Sell Bills,0
The Great Charles Manson Conspiracy,0
Google Up Against Laws That Thwarted Microsoft (and Others Since 1890),0
Rapper Drakeo the Ruler Was Accused of Murder. Prosecutors Used His Music as Proof of His Guilt.,0
"Should a Fine's ""Excessiveness"" Turn Partly on the Defendant's Wealth?",0
Trumps Worst Enemy,1
"If you like Obama, vote for Warner",1
Why We Write,0
White House responds to &Making a Murderer& petition,0
"Formerly Orthodox, and Struggling for Parental Rights",0
"Nostalgia 2020: Biden, like Trump, seeks to make America great again",0
lessons from china s counterfeit crackdown,0
"Therapists Have Betrayed The Parents Of Gender-Confused Kids, And Therell Be Hell To Pay",1
Trump 2020 budget projects big deficits despite spending cuts,0
"Judas, Tax Cuts and the Great Betrayal",1
Dont Overlook the Little Guy in Running Back Tandems,0
"Americans Are Saving More, But Credit Card Debt Is Still a Problem",0
Fact checking Trump&s &Impeach this& map,0
Why the Ted Cruz campaign is looking West,0
"Louisiana Sheriff Doesn't Like Critical Blogger, Raids Home In Search of Him",0
The Affordable Housing Crisis Is About to Get Worse,0
"Hacking indictments could open new phrase of confrontation between U.S., China",0
Meghan McCain sees &a lot of gray& with Trump voters and their views,0
House Passes John Lewis Bill in Latest Voting Push,0
Buy a TV Like a Super Bowl Champ,0
Fraying Ties With Trump Put Jim Mattiss Fate in Doubt,0
Why Democratic Departures From the House Have Republicans Salivating,1
rethinking india s slum relocation policy,0
No Citizenship Question on 2020 Census as Trump Backs Down,0
Photos of the Day: Jan. 26,0
Commonwealth Meeting in Rwanda Has a Long Agenda. Human Rights Isnt on It.,1
N-P-Elliott: Spring 2018,0
Trump Tax Cuts Dont Solve Techs Massive Overseas-Cash Problem,1
What Black America Knows About Quarantine,0
Detroit Files Plan to Restructure Debt,0
"Liz, Bernie, Tories, Labour and Free Markets",0
Michelle Obama Fast Facts,0
"Democrats, you created AOC -- now deal with her",1
Want to Make Budget Cuts? Start Here,0
lsu hires kelly away from notre dame to be tigers next coach,0
How We Got to a Colombian Guerrilla Camp,0
"In border deal, Democrats gave too much away",1
"Israel Plans 1,000 New Settler Homes",0
Her Persistence Paid Off,0
"Ann Romney on Mitt in 2016: 'Well, we will see'",0
Morning Agenda: Dollar Rises After Yellens Talk,0
White America Wants Me to Conform. I Wont Do It.,1
Bringing the Nigerian Schoolgirls Into View,0
Revisiting Duke Ellingtons Far East Suite,0
"Behind Monsanto Deal, Doubts About the GMO Revolution",0
5 New Big Tech Antitrust Bills Are A Put Up Or Shut Up Moment For Republicans,1
"Richard Lamm, Governor and Early Abortion Rights Supporter, Dies at 85",0
Trump Again Falsely Blames Democrats for His Separation Tactic,1
"Foreign Powers See No Military Solution in Syria, but Diplomacy Stalls",1
Dont Take Osteoarthritis Lying Down,0
"White House moves to sharper, populist message to keep Democrats together in make-or-break agenda moment",1
"Travel is back, but Omicron could change everything",0
Secret recordings show how presidents work,0
You Dont Have to Love the Tampa Bay Rays. You Just Shouldnt Hate Them.,0
Quilts Reveal Americas History,0
Samaje Perine active for Redskins vs. Broncos,0
Debate Scene: Democrats Gather in Las Vegas,0
Do Cryptocurrencies Such as Bitcoin Have a Future?,0
Trump avoids gun control talk in Las Vegas visit,1
Preventing This War,0
Pelosi slams Trump for abandoning coronavirus relief talks: 'White House is in complete disarray',1
Frustration With GOP Drove Trump to Deal With Democrats,1
How Charlottesvilles Echoes Forced New Zealand to Confront Its History,0
Colin Powell sees 'dark vein' of intolerance in Republican Party,1
Fixing Puerto Ricos Debt Mess,0
Cuomo to Appoint Special Prosecutor for Killings by Police,1
How DeVoss Cuts Would Hurt Special-Needs Kids,0
Can Obama Find Thumpin to Say?,1
Marxist attacks in Turkey: why rights activists fear fallout,1
here s how manchin s climate deal could make energy bills cheaper,0
The fight between Democratic candidates over socialism heats up,1
"Oil Prices Tick Up, But Sentiment Remains Cautious",0
I Used to Like School: An 11-Year-Olds Struggle With Pandemic Learning,0
Tech Giants Invest in New Dreams of Grandeur,0
The Libertarian Moment is Everywhere Around Us (Increasing Social Tolerance Edition),1
Lois Lerner Can Come Clean; Obama Said So,0
The fear I&ve been living with all my life,0
Democrats Defend Private Interviews in Impeachment Probe,0
Bringing the Theater Back to Life,0
Biden Is the Big Spender America Wants,1
The term &Asian American& has a radical history,1
"Chris Murphy dismisses Rand Paul criticism, says Trump impeachment has 'no comparison'",1
How to Talk to Your Republican Turkey About Obamacare,1
Trump calls McCain a lousy candidate whose campaign was run by deadheads.,1
Obama Defends Cash Payment to Iran,0
How To Fight Deplatforming: Decentralize,0
"In India, a clean sweep for honest governance",0
in a post work world israel s ultra orthodox point the way,0
Like We Dont Have Enough Problems: Trash Piles Up in Athens,0
Changing the Way We Talk About Libertarianism,1
Not Welcome Here': No Love for Trump on Mexico City Streets,1
Grandfather pleads guilty in death of toddler who fell from cruise ship in Puerto Rico,0
how billionaire robert smith avoided indictment in multimillion dollar tax case,0
"Trump Is Guilty of Numerous Felonies, Prosecutor Who Resigned Says",1
"New York Today: Welcome Back, Liberty",0
Chip and Joanna Gaines want you to know they&re good,0
Myanmars Leader Faulted for Silence as Army Campaigns Against Rohingya,0
White House talking points on Syria before Haley&s interview cite intended Russia sanctions,0
Scotts Police Reform Could Be a Key for GOP,0
Congress passes bill boosting US semiconductor production,0
American Meb Keflezighi Wins in Boston,0
Jason Chaffetz Says D.C. Officials Could Go to Prison If They Stop Busting People for Pot,1
"Bob Woodward on Trump&s pandemic response: &In covering nine presidents, I&ve never seen anything like it&",1
Justice Department inspector general report cites lack of candor by McCabe,0
Fashion Model Teddy Quinlivan Comes Out as Transgender,0
The Best Defense,0
Kyle Chandler Has Earned His Feel-Good Moment,0
The Inherent Vice Of This Film Is Its Lack Of A Reason For Existing,0
"Study: Vaping, pot on rise among teens, booze and cigarette use down",0
Biden says he no longer understands Republicans. He has a chance to figure the GOP out this week.,1
Mitch McConnell: Democrats want dictate hamburger consumption,1
"DSW Names New CEO, Blames Slow Traffic for Weak Results",0
Trump downplays North Korea missile tests amid stalled nuclear talks with Kim Jong Un,0
NBC News/WSJ poll: Sanders gains ground on Biden with black voters nationally,0
Trump angry at allies conceding he lost debate,1
Two Presidential Candidates Detained as They File to Run in Uganda,0
US Senate candidate from Louisiana smokes marijuana in new campaign ad,1
Qualcomms Quarter Overshadowed by International Challenges,0
Ivanka Trump spends hours testifying before Jan. 6 committee,0
"With no federal emergency declaration, San Francisco and New York sound alarm on monkeypox",0
hbo no go your game of thrones streaming woes dont matter,0
Trump normalizes foreign election intervention ahead of 2020,1
"Denounced by His Party as a Nazi, Arthur Jones Wins Illinois G.O.P. Congressional Primary",1
"Helicopter Carrying Injured Skier Crashes in Italy, Killing 6",0
Kevin McCarthy&s dishonest explanation for getting rid of Liz Cheney,1
I Was Betrayed by President Trump,1
"Who Is Larry Kudlow, Trumps New Economic Adviser?",0
America&s disdain for Black men and boys hasn&t diminished in the years since Trayvon Martin was killed,1
"This Is a Year to Forget, but Boeings 2021 Isnt Looking Great Either",0
"In Remote Thai Villages, Legacy of Chinas Lost Army Endures ",0
"Supreme Court Nominee to Be Announced Next Week, Trump Says",0
How likely is a pardon for &Making a Murderer& convict?,0
Justice Department drops case against ex-Trump adviser Michael Flynn,0
Democratic Donors Have Their Candidate,0
London Terror Suspect Pleads Guilty,0
Partisan squabbles shadow Congress& efforts to lower drug prices,1
